customer_id,first_name,last_name,city,state,signup_date
1001,Emily,Miller,Appleton,WI,2024-10-08
1002,Ashley,Thomas,Madison,WI,2024-04-14
1003,Nicole,Brown,Waukegan,IL,2025-03-08
1004,Sarah,Miller,Milwaukee,WI,2024-08-11
1005,Ashley,Hall,Waukegan,IL,2024-01-28
1006,Nicole,Taylor,Appleton,WI,2025-07-12
1007,Lauren,Thomas,Racine,WI,2025-08-26
1008,Daniel,Miller,Aurora,IL,2024-06-12
1009,Lauren,Martin,Kenosha,WI,2024-06-08
1010,Robert,Martin,Milwaukee,WI,2024-04-04
1011,Matthew,Davis,Janesville,WI,2024-12-18
1012,Samantha,Moore,Aurora,IL,2024-02-14
1013,Joshua,Allen,Milwaukee,WI,2025-01-22
1014,Michael,Allen,Kenosha,WI,2025-10-05
1015,Samantha,Lee,Waukegan,IL,2024-07-15
1016,Michael,Johnson,Green Bay,WI,2024-08-21
1017,Megan,Brown,Evanston,IL,2024-08-26
1018,Emily,Harris,Kenosha,WI,2025-04-09
1019,Amanda,Anderson,Janesville,WI,2024-12-29
1020,Robert,Moore,Appleton,WI,2024-03-14
1021,Samantha,Anderson,Naperville,IL,2024-09-07
1022,Jessica,Lewis,Beloit,WI,2024-10-03
1023,Nicole,Thomas,Green Bay,WI,2024-11-28
1024,Sarah,Thomas,Evanston,IL,2024-02-02
1025,Christopher,Harris,Kenosha,WI,2024-03-08
1026,Robert,Young,Elgin,IL,2024-11-18
1027,Robert,Walker,Beloit,WI,2025-04-14
1028,David,Moore,Madison,WI,2024-09-09
1029,Nicole,Allen,Kenosha,WI,2025-08-21
1030,Lauren,Young,Beloit,WI,2025-01-05
1031,Ashley,Wilson,Naperville,IL,2025-05-20
1032,Michael,Johnson,Evanston,IL,2024-04-22
1033,David,Anderson,Aurora,IL,2025-03-08
1034,Samantha,Brown,Beloit,WI,2025-01-25
1035,Samantha,Lewis,Naperville,IL,2024-09-14
1036,Nicole,Miller,Green Bay,WI,2024-04-27
1037,Nicole,Moore,Aurora,IL,2024-12-14
1038,Emily,Jackson,Beloit,WI,2024-06-10
1039,Joshua,Miller,Appleton,WI,2024-09-26
1040,Andrew,Anderson,Naperville,IL,2024-04-18
1041,Megan,Hall,Waukegan,IL,2024-07-22
1042,David,Lee,Aurora,IL,2024-06-14
1043,Nicole,Hall,Elgin,IL,2024-01-01
1044,Samantha,Martin,Racine,WI,2024-01-20
1045,Emily,Lee,Elgin,IL,2024-11-10
1046,Ashley,Johnson,Rockford,IL,2025-08-03
1047,Michael,Brown,Appleton,WI,2025-05-12
1048,Michael,Allen,Aurora,IL,2024-05-08
1049,David,Walker,Naperville,IL,2024-06-18
1050,Daniel,Hall,Evanston,IL,2025-09-13
1051,Lauren,Taylor,Elgin,IL,2025-07-06
1052,Robert,Jackson,Beloit,WI,2025-01-17
1053,Joshua,Hall,Racine,WI,2024-05-03
1054,Ashley,Thomas,Milwaukee,WI,2024-12-12
1055,James,Young,Naperville,IL,2024-08-23
1056,Ryan,Thomas,Chicago,IL,2024-03-13
1057,Sarah,Thomas,Milwaukee,WI,2024-02-02
1058,Christopher,Brown,Naperville,IL,2024-08-31
1059,Daniel,Walker,Rockford,IL,2025-07-06
1060,David,Young,Waukegan,IL,2025-04-29
1061,Ashley,Walker,Aurora,IL,2025-02-20
1062,Robert,Davis,Milwaukee,WI,2025-03-17
1063,Amanda,Clark,Beloit,WI,2025-04-23
1064,Sarah,Davis,Chicago,IL,2025-02-16
1065,Christopher,Davis,Rockford,IL,2024-07-15
1066,Robert,Allen,Racine,WI,2024-05-23
1067,Lauren,Anderson,Kenosha,WI,2025-04-18
1068,Ashley,Brown,Racine,WI,2025-07-17
1069,Emily,Johnson,Green Bay,WI,2025-07-07
1070,James,Brown,Elgin,IL,2024-08-30
1071,Jessica,Clark,Racine,WI,2025-05-07
1072,Robert,Harris,Elgin,IL,2024-03-01
1073,Jessica,Harris,Chicago,IL,2025-02-03
1074,Daniel,Lewis,Kenosha,WI,2025-03-09
1075,Nicole,Walker,Madison,WI,2024-07-13
1076,Megan,Taylor,Chicago,IL,2025-08-16
1077,Nicole,Johnson,Appleton,WI,2024-11-17
1078,Sarah,Johnson,Waukegan,IL,2025-05-03
1079,Andrew,Hall,Madison,WI,2024-02-28
1080,Andrew,Brown,Evanston,IL,2024-07-09
1081,Michael,King,Milwaukee,WI,2024-08-28
1082,Matthew,Davis,Elgin,IL,2025-08-06
1083,Ashley,Young,Waukegan,IL,2024-02-10
1084,Samantha,Brown,Beloit,WI,2025-08-20
1085,Ryan,Hall,Janesville,WI,2024-09-24
1086,Robert,Martin,Rockford,IL,2024-09-28
1087,Matthew,Wilson,Green Bay,WI,2024-11-03
1088,Joshua,Martin,Elgin,IL,2024-03-15
1089,James,Lewis,Waukegan,IL,2025-07-30
1090,Emily,Brown,Naperville,IL,2024-08-06
1091,Andrew,Moore,Madison,WI,2024-12-23
1092,Michael,Thomas,Janesville,WI,2024-10-18
1093,Jessica,Lewis,Evanston,IL,2025-07-10
1094,Megan,King,Aurora,IL,2025-06-25
1095,James,Allen,Kenosha,WI,2024-04-16
1096,David,Moore,Milwaukee,WI,2024-04-19
1097,Nicole,Wilson,Kenosha,WI,2024-10-15
1098,Samantha,Taylor,Appleton,WI,2024-12-17
1099,Robert,Moore,Naperville,IL,2025-05-15
1100,Daniel,Johnson,Milwaukee,WI,2025-10-11
1101,Lauren,Moore,Chicago,IL,2024-01-04
1102,Christopher,Wilson,Green Bay,WI,2024-09-25
1103,Jessica,Lewis,Naperville,IL,2025-03-13
1104,Nicole,Miller,Milwaukee,WI,2024-03-18
1105,David,Allen,Chicago,IL,2025-01-13
1106,Ryan,Allen,Madison,WI,2025-03-16
1107,David,Johnson,Kenosha,WI,2025-01-08
1108,Sarah,Lee,Rockford,IL,2024-09-12
1109,Emily,Lee,Aurora,IL,2025-07-27
1110,Lauren,King,Appleton,WI,2024-06-07
1111,Ashley,Anderson,Aurora,IL,2024-06-30
1112,Lauren,Miller,Madison,WI,2024-12-06
1113,Lauren,Thomas,Kenosha,WI,2024-06-12
1114,Emily,Harris,Evanston,IL,2024-02-09
1115,Rachel,Thomas,Rockford,IL,2025-04-16
1116,Amanda,Jackson,Evanston,IL,2024-08-21
1117,Ashley,Miller,Green Bay,WI,2024-07-16
1118,Matthew,Martin,Kenosha,WI,2024-03-12
1119,Daniel,Lee,Green Bay,WI,2025-06-05
1120,Matthew,Allen,Janesville,WI,2024-01-29
1121,Emily,Moore,Madison,WI,2025-08-17
1122,Daniel,Johnson,Milwaukee,WI,2025-09-02
1123,Lauren,Lee,Appleton,WI,2024-11-17
1124,Lauren,King,Naperville,IL,2024-04-28
1125,Matthew,Young,Rockford,IL,2024-09-17
1126,Sarah,Clark,Chicago,IL,2025-06-16
1127,Nicole,Taylor,Janesville,WI,2025-03-17
1128,Michael,Martin,Waukegan,IL,2024-11-17
1129,Emily,Jackson,Naperville,IL,2024-11-12
1130,Lauren,Martin,Beloit,WI,2024-10-29
1131,Nicole,Wilson,Rockford,IL,2025-03-06
1132,Matthew,Anderson,Waukegan,IL,2025-08-05
1133,Megan,Harris,Naperville,IL,2024-01-01
1134,Megan,Jackson,Rockford,IL,2025-03-16
1135,Ryan,King,Green Bay,WI,2024-11-25
1136,Joshua,Lewis,Racine,WI,2024-08-06
1137,Andrew,Walker,Aurora,IL,2024-06-22
1138,Michael,Jackson,Naperville,IL,2025-10-10
1139,Samantha,Martin,Milwaukee,WI,2024-08-28
1140,Megan,Thomas,Aurora,IL,2024-07-22
1141,David,Miller,Chicago,IL,2024-09-07
1142,Rachel,King,Evanston,IL,2024-03-15
1143,Joshua,Clark,Elgin,IL,2025-10-06
1144,Ryan,Taylor,Appleton,WI,2025-01-28
1145,Rachel,Harris,Rockford,IL,2024-05-31
1146,James,Davis,Aurora,IL,2025-03-11
1147,Ashley,Anderson,Aurora,IL,2025-06-14
1148,Joshua,Johnson,Naperville,IL,2024-09-12
1149,Emily,Lewis,Madison,WI,2025-04-20
1150,Andrew,Allen,Waukegan,IL,2024-11-20
1151,Joshua,King,Evanston,IL,2025-05-31
1152,Lauren,Allen,Racine,WI,2024-06-11
1153,Rachel,Lewis,Kenosha,WI,2024-09-10
1154,Daniel,Hall,Racine,WI,2025-10-03
1155,Ashley,Moore,Racine,WI,2024-03-20
1156,Megan,Thomas,Kenosha,WI,2024-12-09
1157,Christopher,Allen,Milwaukee,WI,2024-05-21
1158,David,Thomas,Beloit,WI,2024-06-05
1159,Robert,Brown,Beloit,WI,2025-02-21
1160,Christopher,Allen,Racine,WI,2025-03-01
1161,Sarah,Taylor,Evanston,IL,2025-03-06
1162,Matthew,Young,Appleton,WI,2024-01-21
1163,Ryan,Harris,Racine,WI,2024-01-07
1164,Amanda,Jackson,Aurora,IL,2025-02-03
1165,Lauren,Allen,Appleton,WI,2025-07-13
1166,Samantha,Thomas,Racine,WI,2024-08-12
1167,Daniel,Clark,Racine,WI,2024-01-30
1168,Matthew,Martin,Green Bay,WI,2025-02-18
1169,Jessica,Lewis,Elgin,IL,2024-05-10
1170,Samantha,Allen,Chicago,IL,2025-02-07
1171,Ryan,Young,Green Bay,WI,2024-01-28
1172,Michael,Clark,Madison,WI,2025-04-17
1173,Jessica,Johnson,Kenosha,WI,2025-01-23
1174,Christopher,Taylor,Racine,WI,2024-11-30
1175,Christopher,Harris,Kenosha,WI,2025-03-07
1176,Daniel,Brown,Racine,WI,2024-01-20
1177,Nicole,Johnson,Janesville,WI,2024-08-17
1178,Michael,Johnson,Aurora,IL,2024-02-01
1179,Ashley,Taylor,Evanston,IL,2024-01-21
1180,Samantha,Wilson,Rockford,IL,2024-05-09
1181,Rachel,Davis,Waukegan,IL,2024-08-11
1182,Joshua,Moore,Aurora,IL,2025-01-12
1183,Jessica,King,Waukegan,IL,2024-04-27
1184,Jessica,Jackson,Milwaukee,WI,2025-08-15
1185,James,Jackson,Waukegan,IL,2025-01-19
1186,Matthew,Taylor,Milwaukee,WI,2025-08-29
1187,Ashley,Davis,Appleton,WI,2024-11-04
1188,Samantha,Davis,Aurora,IL,2025-08-02
1189,Sarah,Lee,Naperville,IL,2025-03-14
1190,Amanda,Brown,Naperville,IL,2024-12-15
1191,James,Clark,Evanston,IL,2025-05-16
1192,Emily,Clark,Janesville,WI,2025-10-12
1193,Joshua,Wilson,Beloit,WI,2024-06-29
1194,Andrew,Moore,Waukegan,IL,2025-07-05
1195,Rachel,Lewis,Beloit,WI,2025-08-29
1196,Daniel,Martin,Evanston,IL,2024-09-08
1197,Michael,Moore,Elgin,IL,2025-04-06
1198,Ashley,Lewis,Waukegan,IL,2025-09-16
1199,Matthew,Martin,Chicago,IL,2025-05-21
1200,Christopher,Anderson,Racine,WI,2024-08-05
